pado,insured_rate,disability_rate,electricity_access_rate,piped_water_access_rate,drainage_access_rate,floor_material_rate,occupants_per_room,average_schooling
False,0.6030821917808219,0.1068493150684931,0.9961928934010152,0.9961928934010152,0.9961928934010152,0.9873096446700508,0.93,11.19
False,0.5358126721763086,0.1101928374655647,1.0,1.0,1.0,0.9924433249370276,1.18,9.76
False,0.4867256637168141,0.1099873577749683,1.0,1.0,1.0,0.9907834101382488,0.94,10.51
False,0.5916542473919523,0.1248882265275707,0.9977753058954394,0.982202447163515,0.9888765294771968,0.9632925472747496,1.0,8.59
False,0.5696338837042355,0.1033740129217516,0.9969604863221884,0.9650455927051672,0.993920972644377,0.9817629179331308,1.01,10.04
False,0.5696338837042355,0.1033740129217516,0.9969604863221884,0.9650455927051672,0.993920972644377,0.9817629179331308,1.01,10.04
False,0.474102413184226,0.1147733961153619,0.995505617977528,0.9921348314606742,0.996629213483146,0.9786516853932584,0.99,9.08
False,0.422360248447205,0.0839751552795031,0.9884504331087584,0.985563041385948,0.9846005774783444,0.9307025986525506,1.03,8.68
False,0.5761973875181422,0.0953072085147556,0.9981981981981982,0.9297297297297298,0.9981981981981982,0.963963963963964,1.01,9.37
False,0.422360248447205,0.0839751552795031,0.9884504331087584,0.985563041385948,0.9846005774783444,0.9307025986525506,1.03,8.68
False,0.5541516245487365,0.1462093862815884,0.9984496124031008,0.9984496124031008,0.9984496124031008,0.992248062015504,0.85,10.81
False,0.5461165048543689,0.1966019417475728,0.9950124688279302,0.9950124688279302,0.9950124688279302,0.9875311720698254,1.12,10.75
False,0.4823857690966167,0.0882455528426927,0.9808743169398908,0.9877049180327868,0.989071038251366,0.953551912568306,1.07,10.36
False,0.3762376237623762,0.0693069306930693,0.9047619047619048,1.0,1.0,0.9047619047619048,1.23,6.19
False,0.5681645087585682,0.1457222645341457,0.999003984063745,1.0,0.9970119521912352,0.9731075697211156,1.11,9.99
False,0.5796757611704231,0.121787267694741,0.9947575360419396,0.9947575360419396,0.9947575360419396,0.9868938401048492,0.77,12.0
False,0.5346793349168646,0.0897862232779097,0.9852652259332024,0.9833005893909628,0.986247544204322,0.949901768172888,1.1,9.73
False,0.6517315244555516,0.1137093895037486,0.9983319432860718,0.9924937447873228,0.9974979149291076,0.939115929941618,1.25,8.51
False,0.5767435280803508,0.0947800254632904,0.9994994994994996,0.998998998998999,0.9994994994994996,0.9914914914914916,0.84,11.74
False,0.5154446177847114,0.1912636505460218,0.9938524590163934,0.992827868852459,0.9948770491803278,0.9918032786885246,0.73,10.99
False,0.4947589098532495,0.1530398322851153,0.9957446808510638,0.8425531914893617,0.997872340425532,0.9702127659574468,1.25,8.32
False,0.5419303797468354,0.1305379746835443,1.0,0.9919571045576407,1.0,0.9973190348525468,0.89,11.23
False,0.6238286479250335,0.1405622489959839,0.9972375690607734,0.9972375690607734,0.9972375690607734,0.9930939226519336,0.79,12.3
False,0.6182155149589621,0.1159650516282764,0.9911417322834646,0.9911417322834646,0.9931102362204725,0.9881889763779528,0.96,11.26
False,0.5154446177847114,0.1912636505460218,0.9938524590163934,0.992827868852459,0.9948770491803278,0.9918032786885246,0.73,10.99
False,0.56,,1.0,1.0,0.9333333333333332,0.8666666666666667,0.96,10.08
False,0.5392644135188867,0.0889662027833002,0.9982332155477032,0.986749116607774,0.995583038869258,0.9752650176678446,0.87,10.21
False,0.5541516245487365,0.1462093862815884,0.9984496124031008,0.9984496124031008,0.9984496124031008,0.992248062015504,0.85,10.81
False,0.4944166345783596,0.0419715055833654,0.993103448275862,0.9879310344827588,0.9844827586206896,0.8913793103448275,1.24,8.01
False,0.4982866933181039,0.0725299828669331,0.982373678025852,0.9800235017626322,0.9870740305522914,0.7473560517038778,1.42,7.12
False,0.4162000746547219,0.0955580440462859,0.9207100591715977,0.940828402366864,0.940828402366864,0.936094674556213,0.98,9.32
False,0.5778263244128892,0.1496450027307482,0.9930191972076788,0.987783595113438,0.9947643979057592,0.9912739965095986,0.84,12.6
False,0.422360248447205,0.0839751552795031,0.9884504331087584,0.985563041385948,0.9846005774783444,0.9307025986525506,1.03,8.68
False,0.4804964539007092,0.0886524822695035,0.9956140350877192,0.9649122807017544,0.993421052631579,0.9736842105263158,1.23,8.66
False,0.533311345646438,0.1226912928759894,0.9935897435897436,0.9923076923076924,0.9948717948717948,0.9564102564102565,1.1,9.69
False,0.422360248447205,0.0839751552795031,0.9884504331087584,0.985563041385948,0.9846005774783444,0.9307025986525506,1.03,8.68
False,0.6747608535688006,0.18027961736571,0.9949494949494948,0.9873737373737372,0.9949494949494948,0.9873737373737372,0.95,10.98
False,0.6205906480721903,0.151968826907301,0.9899641577060933,0.9863799283154122,0.9870967741935484,0.956989247311828,0.86,9.5
False,0.642668428005284,0.0488771466314399,0.9978308026030368,0.9956616052060736,0.9978308026030368,0.9956616052060736,0.97,11.94
False,0.5419303797468354,0.1305379746835443,1.0,0.9919571045576407,1.0,0.9973190348525468,0.89,11.23
False,0.4069565217391304,0.0707246376811594,0.9859894921190894,0.9964973730297724,0.9964973730297724,0.9964973730297724,0.97,10.16
False,0.5419303797468354,0.1305379746835443,1.0,0.9919571045576407,1.0,0.9973190348525468,0.89,11.23
False,0.6205906480721903,0.151968826907301,0.9899641577060933,0.9863799283154122,0.9870967741935484,0.956989247311828,0.86,9.5
False,0.501150747986191,0.1311852704257767,0.9977272727272728,0.9840909090909092,0.9954545454545456,0.9590909090909092,1.08,9.32
False,0.474102413184226,0.1147733961153619,0.995505617977528,0.9921348314606742,0.996629213483146,0.9786516853932584,0.99,9.08
False,0.6320238687220289,0.1526603679761312,1.0,1.0,1.0,0.9905838041431262,0.94,11.61
False,0.576931084738705,0.1172184051634395,0.9858532272325377,0.9964633068081344,0.9973474801061007,0.9725906277630416,1.15,10.1
False,0.5767435280803508,0.0947800254632904,0.9994994994994996,0.998998998998999,0.9994994994994996,0.9914914914914916,0.84,11.74
False,0.6431938715380082,0.1001767825574543,0.9837702871410736,0.9712858926342072,0.982521847690387,0.965043695380774,1.36,8.86
False,0.642668428005284,0.0488771466314399,0.9978308026030368,0.9956616052060736,0.9978308026030368,0.9956616052060736,0.97,11.94
False,0.422360248447205,0.0839751552795031,0.9884504331087584,0.985563041385948,0.9846005774783444,0.9307025986525506,1.03,8.68
False,0.536076662908681,0.1347237880496054,0.996007984031936,0.998003992015968,0.998003992015968,0.9860279441117764,0.91,10.22
False,0.5310316481709824,0.2535963830661734,0.9870689655172412,0.9339080459770116,0.9899425287356322,0.9669540229885056,1.44,8.33
False,0.5606731620903455,0.2285208148804251,1.0,1.0,1.0,0.9950124688279302,0.84,11.42
False,0.6508563899868248,0.2187088274044795,0.9785407725321889,0.9742489270386266,0.9785407725321889,0.9785407725321889,0.85,12.33
False,0.5813344962930659,0.1203663323157435,0.9954476479514416,0.9969650986342944,0.9969650986342944,0.9954476479514416,0.96,11.28
False,0.5419303797468354,0.1305379746835443,1.0,0.9919571045576407,1.0,0.9973190348525468,0.89,11.23
False,0.56501677852349,0.1434563758389261,0.9973297730307076,0.9973297730307076,0.9986648865153538,0.9959946595460614,0.71,11.13
False,0.422360248447205,0.0839751552795031,0.9884504331087584,0.985563041385948,0.9846005774783444,0.9307025986525506,1.03,8.68
False,0.4867256637168141,0.1099873577749683,1.0,1.0,1.0,0.9907834101382488,0.94,10.51
False,0.5796757611704231,0.121787267694741,0.9947575360419396,0.9947575360419396,0.9947575360419396,0.9868938401048492,0.77,12.0
False,0.5648204503956178,0.1777236762020693,0.9959100204498976,0.9959100204498976,0.9959100204498976,0.985685071574642,0.74,11.63
False,0.5648204503956178,0.1777236762020693,0.9959100204498976,0.9959100204498976,0.9959100204498976,0.985685071574642,0.74,11.63
False,0.3136933987997817,0.1265684669939989,0.8923357664233577,0.8868613138686131,0.8923357664233577,0.8813868613138686,1.52,8.27
False,0.6196403872752421,0.1943291839557399,0.9978070175438596,0.9956140350877192,0.9978070175438596,0.9978070175438596,0.59,13.75
False,0.5407026563838904,0.1375321336760925,0.9971949509116408,0.994389901823282,0.9971949509116408,0.9971949509116408,0.7,12.76
False,0.6779661016949152,0.0998116760828625,1.0,0.9971428571428572,0.9971428571428572,0.9942857142857144,0.58,14.33
False,0.5395392278953923,0.1843088418430884,0.997322623828648,0.9906291834002676,0.997322623828648,0.9745649263721552,1.27,8.23
False,0.6747608535688006,0.18027961736571,0.9949494949494948,0.9873737373737372,0.9949494949494948,0.9873737373737372,0.95,10.98
False,0.5462986845499097,0.1356719112716017,0.9982316534040672,0.9982316534040672,0.9982316534040672,0.9920424403183024,0.86,10.1
False,0.5049396267837541,0.2777167947310647,1.0,1.0,1.0,0.986159169550173,1.31,10.23
False,0.4056254626202812,0.1191709844559585,1.0,0.8652291105121294,0.9919137466307276,0.9407008086253368,1.2,9.04
False,0.6146188105842284,0.1163217186271941,0.9978880675818372,0.9978880675818372,0.9989440337909188,0.9778247096092924,1.12,8.41
False,0.4790257104194858,0.142083897158322,0.9944674965421854,0.991701244813278,0.9903181189488244,0.9806362378976486,0.72,11.63
False,0.6982017200938233,0.1422986708365911,0.9945054945054944,0.9945054945054944,0.9972527472527472,0.9807692307692308,0.78,10.11
False,0.4790257104194858,0.142083897158322,0.9944674965421854,0.991701244813278,0.9903181189488244,0.9806362378976486,0.72,11.63
False,0.7012116524877545,0.128383604021655,0.9894937917860552,0.9875835721107928,0.9904489016236868,0.9780324737344794,0.95,10.85
False,0.5967213114754099,0.1934426229508196,0.9968553459119496,0.9968553459119496,0.9968553459119496,0.9968553459119496,0.59,12.07
False,0.4863097670617082,0.1107478545157335,0.9568480300187616,0.9568480300187616,0.9606003752345216,0.902439024390244,1.31,8.56
False,0.5461165048543689,0.1966019417475728,0.9950124688279302,0.9950124688279302,0.9950124688279302,0.9875311720698254,1.12,10.75
False,0.5510204081632653,0.1799628942486085,0.9917355371900828,0.998819362455726,0.998819362455726,0.9952774498229044,1.35,10.08
False,0.5783027121609798,0.0679498396033829,0.9919354838709676,0.9838709677419356,0.9798387096774194,0.8736559139784946,1.26,8.83
False,0.5788304959289415,0.1321243523316062,0.992526158445441,0.9910313901345292,0.9940209267563528,0.9805680119581464,1.06,9.99
False,0.6753720012146979,0.1020346188885514,0.9869358669833728,0.992874109263658,0.990498812351544,0.9619952494061758,1.42,9.54
False,0.565266106442577,0.1243697478991596,0.9871244635193132,0.9763948497854076,0.9860515021459229,0.9624463519313304,1.23,9.51
False,0.4162000746547219,0.0955580440462859,0.9207100591715977,0.940828402366864,0.940828402366864,0.936094674556213,0.98,9.32
False,0.6316685584562997,0.1475595913734392,0.9959183673469388,0.973469387755102,0.9959183673469388,0.946938775510204,1.12,11.24
False,0.5317170375290601,0.141813351046164,0.9858323494687132,0.9881936245572608,0.9881936245572608,0.9787485242030696,1.08,9.99
False,0.5317170375290601,0.141813351046164,0.9858323494687132,0.9881936245572608,0.9881936245572608,0.9787485242030696,1.08,9.99
False,0.6827820186598813,0.1497031382527565,0.9985754985754984,0.9985754985754984,0.9985754985754984,0.99002849002849,0.79,12.72
False,0.5853444493198772,0.2044756472136902,0.9966722129783694,0.995008319467554,0.9966722129783694,0.9916805324459236,1.14,10.34
False,0.5642361111111112,0.0894097222222222,1.0,0.9979736575481256,1.0,0.9868287740628168,0.96,11.02
False,0.669260700389105,0.0421530479896238,0.9976958525345622,0.976958525345622,0.9976958525345622,0.97926267281106,1.23,8.37
False,0.5734456279415407,0.0876888778796135,0.9885416666666668,0.975,0.9885416666666668,0.9572916666666668,1.28,9.04
False,0.5606731620903455,0.2285208148804251,1.0,1.0,1.0,0.9950124688279302,0.84,11.42
False,0.5832211754149843,0.1592642440556303,1.0,0.9985074626865672,1.0,0.9985074626865672,0.99,10.94
False,0.4162000746547219,0.0955580440462859,0.9207100591715977,0.940828402366864,0.940828402366864,0.936094674556213,0.98,9.32
False,0.5407026563838904,0.1375321336760925,0.9971949509116408,0.994389901823282,0.9971949509116408,0.9971949509116408,0.7,12.76
False,0.6753720012146979,0.1020346188885514,0.9869358669833728,0.992874109263658,0.990498812351544,0.9619952494061758,1.42,9.54
False,0.5224534501642936,0.1018619934282584,0.993006993006993,0.993006993006993,0.993006993006993,0.993006993006993,0.67,12.17
False,0.5590717299578059,0.080168776371308,0.9678714859437751,0.9457831325301204,0.9678714859437751,0.9417670682730924,1.24,9.01
False,0.5419303797468354,0.1305379746835443,1.0,0.9919571045576407,1.0,0.9973190348525468,0.89,11.23
False,0.56501677852349,0.1434563758389261,0.9973297730307076,0.9973297730307076,0.9986648865153538,0.9959946595460614,0.71,11.13
False,0.474102413184226,0.1147733961153619,0.995505617977528,0.9921348314606742,0.996629213483146,0.9786516853932584,0.99,9.08
False,0.6728820429671666,0.2261856505877584,0.99163179916318,0.9735006973500696,0.98744769874477,0.9804741980474198,0.98,11.72
False,0.6348517715112075,0.1605206073752711,0.9986928104575163,0.9973856209150328,0.9986928104575163,0.9973856209150328,1.03,12.06
False,0.5642361111111112,0.0894097222222222,1.0,0.9979736575481256,1.0,0.9868287740628168,0.96,11.02
False,0.6439024390243903,0.1170731707317073,0.9942196531791908,0.9884393063583816,0.9956647398843932,0.9855491329479767,0.84,12.73
False,0.6027183600713012,0.177139037433155,0.976068376068376,0.9606837606837608,0.9794871794871794,0.9615384615384616,1.24,9.52
False,0.6211586901763224,0.1586901763224181,0.998447204968944,0.9968944099378882,0.998447204968944,0.9968944099378882,0.81,12.31
False,0.6141600335148723,0.2115626309174696,0.9752883031301482,0.9769357495881384,0.9769357495881384,0.943986820428336,1.01,10.62
False,0.4947589098532495,0.1530398322851153,0.9957446808510638,0.8425531914893617,0.997872340425532,0.9702127659574468,1.25,8.32
False,0.4790257104194858,0.142083897158322,0.9944674965421854,0.991701244813278,0.9903181189488244,0.9806362378976486,0.72,11.63
False,0.4947589098532495,0.1530398322851153,0.9957446808510638,0.8425531914893617,0.997872340425532,0.9702127659574468,1.25,8.32
False,0.5418707721017029,0.0867739678096571,1.0,1.0,1.0,0.9797125950972104,0.89,11.56
False,0.5767435280803508,0.0947800254632904,0.9994994994994996,0.998998998998999,0.9994994994994996,0.9914914914914916,0.84,11.74
False,0.5854632913456442,0.1270637152990094,0.995777027027027,0.8631756756756757,0.9961993243243245,0.974802927927928,1.11,11.06
False,0.5767435280803508,0.0947800254632904,0.9994994994994996,0.998998998998999,0.9994994994994996,0.9914914914914916,0.84,11.74
False,0.5778263244128892,0.1496450027307482,0.9930191972076788,0.987783595113438,0.9947643979057592,0.9912739965095986,0.84,12.6
False,0.7012116524877545,0.128383604021655,0.9894937917860552,0.9875835721107928,0.9904489016236868,0.9780324737344794,0.95,10.85
False,0.6779661016949152,0.0998116760828625,1.0,0.9971428571428572,0.9971428571428572,0.9942857142857144,0.58,14.33
False,0.6337209302325582,0.1482558139534883,0.9966405375139976,0.9944008958566628,0.9977603583426652,0.9910414333706606,0.83,12.73
False,0.5346793349168646,0.0897862232779097,0.9852652259332024,0.9833005893909628,0.986247544204322,0.949901768172888,1.1,9.73
False,0.5916542473919523,0.1248882265275707,0.9977753058954394,0.982202447163515,0.9888765294771968,0.9632925472747496,1.0,8.59
False,0.5813344962930659,0.1203663323157435,0.9954476479514416,0.9969650986342944,0.9969650986342944,0.9954476479514416,0.96,11.28
False,0.5407026563838904,0.1375321336760925,0.9971949509116408,0.994389901823282,0.9971949509116408,0.9971949509116408,0.7,12.76
False,0.5409020217729393,0.1455676516329704,0.9976635514018692,0.9976635514018692,0.9976635514018692,0.9707943925233644,0.94,11.36
False,0.6211586901763224,0.1586901763224181,0.998447204968944,0.9968944099378882,0.998447204968944,0.9968944099378882,0.81,12.31
False,0.6141600335148723,0.2115626309174696,0.9752883031301482,0.9769357495881384,0.9769357495881384,0.943986820428336,1.01,10.62
False,0.4947589098532495,0.1530398322851153,0.9957446808510638,0.8425531914893617,0.997872340425532,0.9702127659574468,1.25,8.32
False,0.4790257104194858,0.142083897158322,0.9944674965421854,0.991701244813278,0.9903181189488244,0.9806362378976486,0.72,11.63
False,0.4947589098532495,0.1530398322851153,0.9957446808510638,0.8425531914893617,0.997872340425532,0.9702127659574468,1.25,8.32
False,0.5418707721017029,0.0867739678096571,1.0,1.0,1.0,0.9797125950972104,0.89,11.56
False,0.5767435280803508,0.0947800254632904,0.9994994994994996,0.998998998998999,0.9994994994994996,0.9914914914914916,0.84,11.74
False,0.5854632913456442,0.1270637152990094,0.995777027027027,0.8631756756756757,0.9961993243243245,0.974802927927928,1.11,11.06
False,0.5767435280803508,0.0947800254632904,0.9994994994994996,0.998998998998999,0.9994994994994996,0.9914914914914916,0.84,11.74
False,0.5778263244128892,0.1496450027307482,0.9930191972076788,0.987783595113438,0.9947643979057592,0.9912739965095986,0.84,12.6
False,0.7012116524877545,0.128383604021655,0.9894937917860552,0.9875835721107928,0.9904489016236868,0.9780324737344794,0.95,10.85
False,0.6779661016949152,0.0998116760828625,1.0,0.9971428571428572,0.9971428571428572,0.9942857142857144,0.58,14.33
False,0.6337209302325582,0.1482558139534883,0.9966405375139976,0.9944008958566628,0.9977603583426652,0.9910414333706606,0.83,12.73
False,0.5346793349168646,0.0897862232779097,0.9852652259332024,0.9833005893909628,0.986247544204322,0.949901768172888,1.1,9.73
False,0.5916542473919523,0.1248882265275707,0.9977753058954394,0.982202447163515,0.9888765294771968,0.9632925472747496,1.0,8.59
False,0.5813344962930659,0.1203663323157435,0.9954476479514416,0.9969650986342944,0.9969650986342944,0.9954476479514416,0.96,11.28
False,0.5407026563838904,0.1375321336760925,0.9971949509116408,0.994389901823282,0.9971949509116408,0.9971949509116408,0.7,12.76
False,0.5409020217729393,0.1455676516329704,0.9976635514018692,0.9976635514018692,0.9976635514018692,0.9707943925233644,0.94,11.36
True,0.5510204081632653,0.1799628942486085,0.9917355371900828,0.998819362455726,0.998819362455726,0.9952774498229044,1.35,10.08
True,0.4383755301375144,0.1101400848220023,0.9921875,0.9953125,0.9963541666666668,0.9130208333333332,1.12,8.93
True,0.5420868040333188,0.1389741341516878,0.9919857524487978,0.9955476402493322,0.9973285841495992,0.9020480854853072,1.09,10.02
True,0.422360248447205,0.0839751552795031,0.9884504331087584,0.985563041385948,0.9846005774783444,0.9307025986525506,1.03,8.68
True,0.6212660028449503,0.1774537695590327,0.9937965260545906,0.9950372208436724,0.9950372208436724,0.9900744416873448,1.22,9.3
True,0.56501677852349,0.1434563758389261,0.9973297730307076,0.9973297730307076,0.9986648865153538,0.9959946595460614,0.71,11.13
True,0.6109911207103432,0.1430285577153827,0.9948630136986302,0.9931506849315068,0.9940068493150684,0.9863013698630136,0.91,11.41
True,0.5224534501642936,0.1018619934282584,0.993006993006993,0.993006993006993,0.993006993006993,0.993006993006993,0.67,12.17
True,0.6060837956762961,0.1325808303041898,0.9847425301970756,0.9847425301970756,0.9847425301970756,0.9713922441195167,1.1,10.67
True,0.5575030012004802,0.1061224489795918,0.9773960216998192,0.9746835443037974,0.9773960216998192,0.9710669077757684,1.03,11.02
True,0.422360248447205,0.0839751552795031,0.9884504331087584,0.985563041385948,0.9846005774783444,0.9307025986525506,1.03,8.68
True,0.5567091087169441,0.1882468168462291,0.9978525411596276,0.9978525411596276,0.9971367215461704,0.984251968503937,0.91,11.55
True,0.4804964539007092,0.0886524822695035,0.9956140350877192,0.9649122807017544,0.993421052631579,0.9736842105263158,1.23,8.66
True,0.6616052060737527,0.1818510484454085,0.9868073878627968,0.9868073878627968,0.9868073878627968,0.9736147757255936,1.32,8.64
True,0.6616052060737527,0.1818510484454085,0.9868073878627968,0.9868073878627968,0.9868073878627968,0.9736147757255936,1.32,8.64
True,0.6551376762928139,0.1584956346541303,1.0,1.0,1.0,0.990990990990991,0.95,11.42
False,0.6616052060737527,0.1818510484454085,0.9868073878627968,0.9868073878627968,0.9868073878627968,0.9736147757255936,1.32,8.64
True,0.5745901639344262,0.090983606557377,0.994579945799458,0.994579945799458,0.994579945799458,0.978319783197832,0.79,11.31
True,0.5767435280803508,0.0947800254632904,0.9994994994994996,0.998998998998999,0.9994994994994996,0.9914914914914916,0.84,11.74
False,0.6616052060737527,0.1818510484454085,0.9868073878627968,0.9868073878627968,0.9868073878627968,0.9736147757255936,1.32,8.64
False,0.6616052060737527,0.1818510484454085,0.9868073878627968,0.9868073878627968,0.9868073878627968,0.9736147757255936,1.32,8.64
False,0.6616052060737527,0.1818510484454085,0.9868073878627968,0.9868073878627968,0.9868073878627968,0.9736147757255936,1.32,8.64
True,0.56501677852349,0.1434563758389261,0.9973297730307076,0.9973297730307076,0.9986648865153538,0.9959946595460614,0.71,11.13
True,0.5681645087585682,0.1457222645341457,0.999003984063745,1.0,0.9970119521912352,0.9731075697211156,1.11,9.99
True,0.4998213647731332,0.1464808860307252,0.9956896551724138,0.9719827586206896,0.9935344827586208,0.9683908045977012,1.34,8.62
